,precision,recall,f1-score,support
air hockey,0.8333333333333334,1.0,0.9090909090909091,5.0
ampute football,1.0,1.0,1.0,5.0
archery,1.0,0.8,0.8888888888888888,5.0
arm wrestling,0.8333333333333334,1.0,0.9090909090909091,5.0
axe throwing,0.8,0.8,0.8,5.0
balance beam,0.8333333333333334,1.0,0.9090909090909091,5.0
barell racing,1.0,1.0,1.0,5.0
baseball,0.6,0.6,0.6,5.0
basketball,1.0,1.0,1.0,5.0
baton twirling,1.0,0.8,0.8888888888888888,5.0
bike polo,1.0,0.8,0.8888888888888888,5.0
billiards,1.0,1.0,1.0,5.0
bmx,1.0,0.4,0.5714285714285714,5.0
bobsled,0.7142857142857143,1.0,0.8333333333333334,5.0
bowling,1.0,0.2,0.3333333333333333,5.0
boxing,1.0,1.0,1.0,5.0
bull riding,1.0,1.0,1.0,5.0
bungee jumping,0.6666666666666666,0.8,0.7272727272727273,5.0
canoe slamon,1.0,1.0,1.0,5.0
cheerleading,0.6666666666666666,0.4,0.5,5.0
chuckwagon racing,1.0,1.0,1.0,5.0
cricket,0.8333333333333334,1.0,0.9090909090909091,5.0
croquet,1.0,0.8,0.8888888888888888,5.0
curling,1.0,1.0,1.0,5.0
disc golf,1.0,1.0,1.0,5.0
fencing,1.0,0.8,0.8888888888888888,5.0
field hockey,0.7142857142857143,1.0,0.8333333333333334,5.0
figure skating men,1.0,1.0,1.0,5.0
figure skating pairs,1.0,0.8,0.8888888888888888,5.0
figure skating women,0.8333333333333334,1.0,0.9090909090909091,5.0
fly fishing,1.0,1.0,1.0,5.0
football,0.7142857142857143,1.0,0.8333333333333334,5.0
formula 1 racing,1.0,1.0,1.0,5.0
frisbee,0.6666666666666666,0.4,0.5,5.0
gaga,1.0,1.0,1.0,5.0
giant slalom,1.0,1.0,1.0,5.0
golf,0.7142857142857143,1.0,0.8333333333333334,5.0
hammer throw,1.0,1.0,1.0,5.0
hang gliding,0.7142857142857143,1.0,0.8333333333333334,5.0
harness racing,1.0,1.0,1.0,5.0
high jump,1.0,1.0,1.0,5.0
hockey,0.8333333333333334,1.0,0.9090909090909091,5.0
horse jumping,1.0,1.0,1.0,5.0
horse racing,1.0,1.0,1.0,5.0
horseshoe pitching,1.0,0.4,0.5714285714285714,5.0
hurdles,0.7142857142857143,1.0,0.8333333333333334,5.0
hydroplane racing,1.0,0.8,0.8888888888888888,5.0
ice climbing,1.0,1.0,1.0,5.0
ice yachting,1.0,0.8,0.8888888888888888,5.0
jai alai,0.625,1.0,0.7692307692307693,5.0
javelin,0.5555555555555556,1.0,0.7142857142857143,5.0
jousting,1.0,1.0,1.0,5.0
judo,0.6666666666666666,0.8,0.7272727272727273,5.0
lacrosse,1.0,0.8,0.8888888888888888,5.0
log rolling,1.0,1.0,1.0,5.0
luge,0.8333333333333334,1.0,0.9090909090909091,5.0
motorcycle racing,0.8333333333333334,1.0,0.9090909090909091,5.0
mushing,1.0,1.0,1.0,5.0
nascar racing,1.0,1.0,1.0,5.0
olympic wrestling,0.8333333333333334,1.0,0.9090909090909091,5.0
parallel bar,1.0,1.0,1.0,5.0
pole climbing,1.0,0.8,0.8888888888888888,5.0
pole dancing,0.6666666666666666,0.8,0.7272727272727273,5.0
pole vault,1.0,0.8,0.8888888888888888,5.0
polo,1.0,1.0,1.0,5.0
pommel horse,1.0,1.0,1.0,5.0
rings,1.0,1.0,1.0,5.0
rock climbing,1.0,1.0,1.0,5.0
roller derby,0.7142857142857143,1.0,0.8333333333333334,5.0
rollerblade racing,0.6666666666666666,0.8,0.7272727272727273,5.0
rowing,1.0,0.8,0.8888888888888888,5.0
rugby,1.0,0.8,0.8888888888888888,5.0
sailboat racing,1.0,1.0,1.0,5.0
shot put,0.75,0.6,0.6666666666666666,5.0
shuffleboard,0.8,0.8,0.8,5.0
sidecar racing,1.0,1.0,1.0,5.0
ski jumping,0.7142857142857143,1.0,0.8333333333333334,5.0
sky surfing,1.0,0.6,0.75,5.0
skydiving,0.8333333333333334,1.0,0.9090909090909091,5.0
snow boarding,1.0,0.6,0.75,5.0
snowmobile racing,1.0,0.6,0.75,5.0
speed skating,1.0,0.8,0.8888888888888888,5.0
steer wrestling,1.0,0.8,0.8888888888888888,5.0
sumo wrestling,1.0,0.6,0.75,5.0
surfing,1.0,1.0,1.0,5.0
swimming,1.0,1.0,1.0,5.0
table tennis,0.8,0.8,0.8,5.0
tennis,0.8,0.8,0.8,5.0
track bicycle,0.8333333333333334,1.0,0.9090909090909091,5.0
trapeze,0.8,0.8,0.8,5.0
tug of war,1.0,1.0,1.0,5.0
ultimate,1.0,0.6,0.75,5.0
uneven bars,1.0,1.0,1.0,5.0
volleyball,0.8,0.8,0.8,5.0
water cycling,1.0,1.0,1.0,5.0
water polo,1.0,1.0,1.0,5.0
weightlifting,1.0,1.0,1.0,5.0
wheelchair basketball,1.0,1.0,1.0,5.0
wheelchair racing,1.0,1.0,1.0,5.0
wingsuit flying,0.7142857142857143,1.0,0.8333333333333334,5.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.9092579365079365,0.89,0.8851879786879787,500.0
weighted avg,0.9092579365079364,0.89,0.8851879786879787,500.0
