,precision,recall,f1-score,support
air hockey,1.0,1.0,1.0,5.0
ampute football,1.0,1.0,1.0,5.0
archery,0.8333333333333334,1.0,0.9090909090909091,5.0
arm wrestling,1.0,1.0,1.0,5.0
axe throwing,1.0,0.8,0.8888888888888888,5.0
balance beam,1.0,1.0,1.0,5.0
barell racing,1.0,1.0,1.0,5.0
baseball,1.0,1.0,1.0,5.0
basketball,0.8333333333333334,1.0,0.9090909090909091,5.0
baton twirling,1.0,0.8,0.8888888888888888,5.0
bike polo,1.0,1.0,1.0,5.0
billiards,1.0,1.0,1.0,5.0
bmx,1.0,1.0,1.0,5.0
bobsled,1.0,1.0,1.0,5.0
bowling,1.0,1.0,1.0,5.0
boxing,1.0,1.0,1.0,5.0
bull riding,1.0,1.0,1.0,5.0
bungee jumping,1.0,1.0,1.0,5.0
canoe slamon,1.0,1.0,1.0,5.0
cheerleading,1.0,0.8,0.8888888888888888,5.0
chuckwagon racing,1.0,1.0,1.0,5.0
cricket,1.0,1.0,1.0,5.0
croquet,1.0,1.0,1.0,5.0
curling,1.0,1.0,1.0,5.0
disc golf,1.0,1.0,1.0,5.0
fencing,1.0,0.8,0.8888888888888888,5.0
field hockey,1.0,1.0,1.0,5.0
figure skating men,1.0,1.0,1.0,5.0
figure skating pairs,1.0,1.0,1.0,5.0
figure skating women,1.0,1.0,1.0,5.0
fly fishing,1.0,1.0,1.0,5.0
football,0.8333333333333334,1.0,0.9090909090909091,5.0
formula 1 racing,1.0,1.0,1.0,5.0
frisbee,1.0,0.8,0.8888888888888888,5.0
gaga,1.0,1.0,1.0,5.0
giant slalom,0.8333333333333334,1.0,0.9090909090909091,5.0
golf,1.0,1.0,1.0,5.0
hammer throw,1.0,1.0,1.0,5.0
hang gliding,1.0,1.0,1.0,5.0
harness racing,1.0,1.0,1.0,5.0
high jump,1.0,1.0,1.0,5.0
hockey,1.0,1.0,1.0,5.0
horse jumping,1.0,1.0,1.0,5.0
horse racing,1.0,1.0,1.0,5.0
horseshoe pitching,1.0,1.0,1.0,5.0
hurdles,1.0,1.0,1.0,5.0
hydroplane racing,1.0,0.8,0.8888888888888888,5.0
ice climbing,1.0,1.0,1.0,5.0
ice yachting,1.0,1.0,1.0,5.0
jai alai,1.0,1.0,1.0,5.0
javelin,0.8333333333333334,1.0,0.9090909090909091,5.0
jousting,1.0,1.0,1.0,5.0
judo,0.8333333333333334,1.0,0.9090909090909091,5.0
lacrosse,1.0,1.0,1.0,5.0
log rolling,0.8333333333333334,1.0,0.9090909090909091,5.0
luge,1.0,1.0,1.0,5.0
motorcycle racing,0.8333333333333334,1.0,0.9090909090909091,5.0
mushing,1.0,1.0,1.0,5.0
nascar racing,1.0,1.0,1.0,5.0
olympic wrestling,1.0,1.0,1.0,5.0
parallel bar,1.0,0.8,0.8888888888888888,5.0
pole climbing,1.0,1.0,1.0,5.0
pole dancing,1.0,1.0,1.0,5.0
pole vault,1.0,1.0,1.0,5.0
polo,1.0,1.0,1.0,5.0
pommel horse,0.8333333333333334,1.0,0.9090909090909091,5.0
rings,1.0,1.0,1.0,5.0
rock climbing,1.0,1.0,1.0,5.0
roller derby,1.0,1.0,1.0,5.0
rollerblade racing,1.0,1.0,1.0,5.0
rowing,1.0,1.0,1.0,5.0
rugby,1.0,1.0,1.0,5.0
sailboat racing,0.8333333333333334,1.0,0.9090909090909091,5.0
shot put,1.0,1.0,1.0,5.0
shuffleboard,1.0,1.0,1.0,5.0
sidecar racing,1.0,0.8,0.8888888888888888,5.0
ski jumping,1.0,1.0,1.0,5.0
sky surfing,0.8333333333333334,1.0,0.9090909090909091,5.0
skydiving,1.0,1.0,1.0,5.0
snow boarding,1.0,0.6,0.75,5.0
snowmobile racing,1.0,1.0,1.0,5.0
speed skating,1.0,1.0,1.0,5.0
steer wrestling,1.0,1.0,1.0,5.0
sumo wrestling,1.0,1.0,1.0,5.0
surfing,1.0,1.0,1.0,5.0
swimming,1.0,1.0,1.0,5.0
table tennis,1.0,1.0,1.0,5.0
tennis,1.0,1.0,1.0,5.0
track bicycle,1.0,1.0,1.0,5.0
trapeze,1.0,1.0,1.0,5.0
tug of war,0.8333333333333334,1.0,0.9090909090909091,5.0
ultimate,1.0,0.8,0.8888888888888888,5.0
uneven bars,1.0,1.0,1.0,5.0
volleyball,1.0,0.8,0.8888888888888888,5.0
water cycling,1.0,1.0,1.0,5.0
water polo,1.0,1.0,1.0,5.0
weightlifting,1.0,1.0,1.0,5.0
wheelchair basketball,1.0,1.0,1.0,5.0
wheelchair racing,1.0,1.0,1.0,5.0
wingsuit flying,1.0,1.0,1.0,5.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.98,0.976,0.9754797979797981,500.0
weighted avg,0.98,0.976,0.975479797979798,500.0
